author,content,lxical richness,segement length,sentence length,Nounword,Verbword,Adjectiveword,determinerword,numeral,adverb,To_word,preposition,comma,fullStop,pronun,WH_pronun,questionMark
AaronPressman,106247newsML.txt,0.570637119,183.0909091,111.8888889,0.340720222,0.141274238,0.074792244,0.105263158,0.019390582,0.022160665,0.013850416,0.113573407,0.058171745,0.041551247,0,0,0
AaronPressman,120600newsML.txt,0.528384279,163,113.3913043,0.312227074,0.183406114,0.074235808,0.100436681,0.004366812,0.028384279,0.032751092,0.102620087,0.041484716,0.043668122,0,0,0
AaronPressman,120683newsML.txt,0.769230769,163.3333333,163.3333333,0.371794872,0.08974359,0.141025641,0.115384615,0.025641026,0.012820513,0.012820513,0.141025641,0.051282051,0.025641026,0,0,0
AaronPressman,136958newsML.txt,0.5390625,171.1176471,126.4782609,0.3125,0.1484375,0.0546875,0.119140625,0.01953125,0.02734375,0.02734375,0.115234375,0.05078125,0.0390625,0,0,0
AaronPressman,137498newsML.txt,0.54822335,164.2857143,127.7777778,0.329949239,0.137055838,0.060913706,0.134517766,0.020304569,0.017766497,0.017766497,0.129441624,0.053299492,0.038071066,0,0,0
AaronPressman,14014newsML.txt,0.859649123,174,116,0.385964912,0.175438596,0.052631579,0.122807018,0,0,0.01754386,0.122807018,0.052631579,0.035087719,0,0,0
AaronPressman,156814newsML.txt,0.55794702,198.1666667,127.3928571,0.339403974,0.152317881,0.099337748,0.099337748,0,0.03807947,0.021523179,0.094370861,0.048013245,0.044701987,0,0,0
AaronPressman,182596newsML.txt,0.4682861,187.3913043,130.6060606,0.326585695,0.141700405,0.075573549,0.116059379,0.01754386,0.021592443,0.025641026,0.101214575,0.043184885,0.04048583,0,0,0
AaronPressman,186392newsML.txt,0.499108734,203.625,148.0909091,0.319073084,0.135472371,0.094474153,0.099821747,0.021390374,0.03030303,0.016042781,0.122994652,0.039215686,0.037433155,0,0,0
AaronPressman,193495newsML.txt,0.541208791,168,106.1052632,0.307692308,0.148351648,0.074175824,0.090659341,0.035714286,0.046703297,0.027472527,0.126373626,0.049450549,0.035714286,0,0,0
AaronPressman,196805newsML.txt,0.532653061,195.1333333,127.2608696,0.330612245,0.153061224,0.079591837,0.110204082,0,0.036734694,0.030612245,0.104081633,0.046938776,0.034693878,0,0,0
AaronPressman,197734newsML.txt,0.541208791,167.75,105.9473684,0.304945055,0.148351648,0.076923077,0.090659341,0.035714286,0.046703297,0.027472527,0.126373626,0.049450549,0.035714286,0,0,0
AaronPressman,206838newsML.txt,0.514423077,166.2857143,129.3333333,0.319711538,0.146634615,0.074519231,0.105769231,0.012019231,0.028846154,0.028846154,0.098557692,0.0625,0.036057692,0,0,0
AaronPressman,231479newsML.txt,0.483388704,186.8421053,122.4137931,0.315614618,0.179401993,0.071428571,0.101328904,0.004983389,0.033222591,0.033222591,0.096345515,0.043189369,0.03986711,0,0,0
AaronPressman,233150newsML.txt,0.46899841,164.5454545,120.6666667,0.333863275,0.138314785,0.085850556,0.124006359,0.022257552,0.028616852,0.023847377,0.095389507,0.049284579,0.041335453,0,0,0
AaronPressman,237175newsML.txt,0.492395437,183.5,101.2413793,0.319391635,0.159695817,0.045627376,0.106463878,0.020912548,0.020912548,0.034220532,0.11026616,0.043726236,0.038022814,0,0,0
AaronPressman,249407newsML.txt,0.527659574,179.6,134.7,0.304255319,0.163829787,0.080851064,0.110638298,0.008510638,0.034042553,0.019148936,0.089361702,0.027659574,0.040425532,0,0,0
AaronPressman,2537newsML.txt,0.543478261,194.3571429,85.03125,0.354347826,0.158695652,0.07173913,0.1,0.006521739,0.039130435,0.019565217,0.084782609,0.034782609,0.054347826,0,0,0
AaronPressman,266038newsML.txt,0.549327354,195.5384615,101.68,0.322869955,0.14573991,0.065022422,0.096412556,0.01793722,0.035874439,0.040358744,0.094170404,0.044843049,0.044843049,0,0,0
AaronPressman,269995newsML.txt,0.535971223,151,99.09375,0.34352518,0.142086331,0.061151079,0.086330935,0.019784173,0.044964029,0.026978417,0.097122302,0.050359712,0.043165468,0,0,0
AaronPressman,269999newsML.txt,0.511363636,166.2,99.72,0.309090909,0.145454545,0.077272727,0.125,0.006818182,0.013636364,0.038636364,0.140909091,0.043181818,0.036363636,0,0,0
AaronPressman,270046newsML.txt,0.546558704,182.5625,91.28125,0.309716599,0.147773279,0.078947368,0.115384615,0.020242915,0.034412955,0.020242915,0.113360324,0.050607287,0.038461538,0,0,0
AaronPressman,270084newsML.txt,0.535087719,164.4375,109.625,0.317982456,0.138157895,0.074561404,0.103070175,0.032894737,0.035087719,0.019736842,0.103070175,0.063596491,0.037280702,0,0,0
AaronPressman,270134newsML.txt,0.531835206,155.95,119.9615385,0.31835206,0.155430712,0.071161049,0.093632959,0.020599251,0.033707865,0.035580524,0.093632959,0.046816479,0.043071161,0,0,0
AaronPressman,270346newsML.txt,0.568764569,153.875,102.5833333,0.361305361,0.132867133,0.051282051,0.093240093,0.023310023,0.041958042,0.03030303,0.107226107,0.048951049,0.041958042,0,0,0
AaronPressman,275174newsML.txt,0.492125984,172.2941176,117.16,0.320866142,0.137795276,0.086614173,0.104330709,0.021653543,0.031496063,0.029527559,0.118110236,0.037401575,0.037401575,0,0,0
AaronPressman,277117newsML.txt,0.521367521,178.5454545,115.5294118,0.324786325,0.170940171,0.05982906,0.133903134,0.008547009,0.028490028,0.01994302,0.108262108,0.037037037,0.045584046,0,0,0
AaronPressman,277513newsML.txt,0.499133449,197.8235294,129.3461538,0.29982669,0.149046794,0.10745234,0.114384749,0.010398614,0.034662045,0.025996534,0.114384749,0.043327556,0.03812825,0,0,0
AaronPressman,290125newsML.txt,0.528907923,160.1764706,123.7727273,0.359743041,0.141327623,0.053533191,0.098501071,0.010706638,0.023554604,0.029978587,0.100642398,0.038543897,0.040685225,0,0,0
